,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLU,XLU,XLU,XLU,XLU,XLU,XLU,GDX,GDX,GDX,GDX,GDX,GDX,GDX,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLF
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-06,30.97934073640025,30.97934073640025,30.500823226640943,30.644378662109375,12553800,0.0,0,73.01484661274908,73.15259454520367,72.28019564375846,72.38121032714844,6367700,0.0,0,47.76192908787869,47.91047688718719,47.64833410408796,47.657073974609375,7893700,0.0,0,62.633518443637016,62.715742267232365,62.16760899953642,62.24068832397461,5599900,0.0,0,43.58550683099887,43.798077589183464,43.58550683099887,43.74706268310547,14036800,0.0,0,20.76915908414448,20.788319263258973,20.539242416416325,20.587141036987305,37409500,0.0,0,50.79326120567785,50.94186693021477,50.03456820412684,50.14406967163086,20683600,0.0,0,22.673757149353065,22.773283373556765,22.510896682739258,22.510896682739258,97648100,0.0,0
2017-07-07,30.27113313048469,30.405119789108934,29.649058343593758,29.945741653442383,17125200,0.0,0,72.63831255653645,72.83115679710241,72.45465337680179,72.7485122680664,4371400,0.0,0,47.700776469386994,47.796895071900444,47.499802724715614,47.6308708190918,9841500,0.0,0,62.39598747760935,62.916715035901575,62.341169281547614,62.72486877441406,4166700,0.0,0,43.738561588675175,43.99364911407193,43.696048082299924,43.78107833862305,13263000,0.0,0,20.453024309009283,20.52008311155177,20.117728469081527,20.318904876708984,57304600,0.0,0,49.97981159450644,50.13624053901237,49.5026955561671,50.06584930419922,16036700,0.0,0,22.62852264382784,22.709952890614932,22.510900409255836,22.66471290588379,59432400,0.0,0
2017-07-10,29.63948693539074,30.720939828678404,29.63948693539074,30.682661056518555,14885900,0.0,0,72.77606725889757,72.80361543782243,72.42711198226739,72.61077117919922,3580000,0.0,0,47.674554965330884,47.674554965330884,47.23765472921149,47.29882049560547,9119200,0.0,0,62.67918431154586,63.199911838314335,62.606098034482315,62.90757369995117,7919500,0.0,0,43.90861529163972,44.01064834736807,43.71305058333857,43.74706268310547,16313800,0.0,0,20.146468902571268,20.740419867526573,20.108148542398492,20.60630226135254,52988200,0.0,0,49.99546074375708,50.34743488080701,49.885959270199166,50.23011016845703,14153800,0.0,0,22.628517617856374,22.691851856683975,22.556135384092173,22.63756561279297,55022500,0.0,0
2017-07-11,30.63480595413995,30.85492805904245,30.089296034451603,30.797504425048828,8459900,0.0,0,72.56486344684784,72.72098149374457,72.1608117535129,72.52813720703125,4117500,0.0,0,47.34251208158874,47.359988491850466,47.062896183969904,47.16775131225586,11256400,0.0,0,62.90757917195584,62.953259841566826,62.41425721370191,62.85276794433594,7683500,0.0,0,43.815081636090035,43.815081636090035,43.508979239325896,43.72154998779297,9055900,0.0,0,20.615881355102605,20.826637844221732,20.36680450766259,20.730838775634766,35247100,0.0,0,50.31615212789785,50.68376680608957,50.0032881910932,50.503868103027344,11899800,0.0,0,22.61947116911707,22.62851916467216,22.37518046631572,22.438514709472656,49857200,0.0,0
2017-07-12,31.132468166828655,31.352586632729576,30.864498495438486,30.912349700927734,9287200,0.0,0,72.8862611915116,73.2627646171616,72.86789106958796,73.02400207519531,8808200,0.0,0,47.464842498652686,47.59591390587654,47.394940192541824,47.42988967895508,8100800,0.0,0,63.2090505521796,63.4922511687542,63.1268267464666,63.199913024902344,5821800,0.0,0,44.10418164028814,44.22322075032731,44.01915463128087,44.095680236816406,12143000,0.0,0,21.01823732483551,21.133194752715497,20.788320641860167,20.82663917541504,39815200,0.0,0,51.004440894125224,51.12958883832822,50.425646570642414,50.644649505615234,14818600,0.0,0,22.438514444880752,22.528992673636054,22.375180202470645,22.510896682739258,47818600,0.0,0
2017-07-13,30.912349947583156,31.046334784347334,30.414691200142006,30.51996421813965,8345500,0.0,0,73.08828735351562,73.31786484665693,72.59240613374159,73.08828735351562,9437700,0.0,0,47.49105886512349,47.54348809844369,47.394943603963355,47.43863296508789,10008200,0.0,0,63.26387672749839,63.40091178947875,63.00808166241121,63.15424728393555,3938800,0.0,0,44.07017070419259,44.1892098086171,43.90861485369734,43.942626953125,6921000,0.0,0,20.85537859213303,20.9607559255061,20.577561469569254,20.596721649169922,42072200,0.0,0,50.68376262094467,50.88711909080003,50.40218569780965,50.84801483154297,10056800,0.0,0,22.510897769506258,22.646615982055664,22.492803503464597,22.646615982055664,48875900,0.0,0
2017-07-14,31.046333505909164,31.24731440359235,30.893207462939447,31.008054733276367,12389200,0.0,0,73.24441250028408,73.74030077445765,73.09747952742535,73.58418273925781,5750000,0.0,0,47.65708482929012,47.88427151533312,47.6396084175507,47.814369201660156,6341100,0.0,0,63.254739812161844,63.56535308699239,63.135979807902046,63.42831802368164,5519200,0.0,0,44.23172443407754,44.35076354152423,44.095679276485264,44.14669418334961,12607500,0.0,0,21.037394909515886,21.094875448571504,20.884117126464844,20.884117126464844,47456100,0.0,0,50.87929961124168,51.246908275741305,50.83236614783422,51.153053283691406,10272500,0.0,0,22.366134057910028,22.583280789455312,22.24851355880464,22.547090530395508,61742300,0.0,0
2017-07-17,31.266449311480898,31.534422602049453,31.20902933199748,31.352582931518555,9437500,0.0,0,73.67601079256072,73.73110714790816,73.29950034795597,73.31786346435547,5743700,0.0,0,47.90174359179986,47.9192200019576,47.726982823506845,47.866790771484375,7902200,0.0,0,63.382650951179144,63.49228041933853,63.20907967229472,63.391788482666016,5113400,0.0,0,44.17220276097143,44.35076141357422,44.07867111144456,44.35076141357422,7669000,0.0,0,21.11403724511749,21.238574768177497,21.056556701660156,21.056556701660156,28408400,0.0,0,51.059197629412374,51.44245281066298,51.01227012851156,51.090484619140625,12214900,0.0,0,22.483754645318488,22.52899289728088,22.384228420126796,22.474706649780273,43257000,0.0,0
