,XLE,XLF,XLU,XLI,GDX,XLK,XLV,XLY,XLP,XLB,XOP,IYR,XHB,ITB,VNQ,GDXJ,IYE,OIH,XME,XRT,SMH,IBB,KBE,KRE,XTL
sell_count,42.403947832217135,32.78110680296088,30.595699682763485,31.441663729291502,55.868875572788156,27.564328516038067,26.295382446246034,26.542121959816704,27.211843496651394,32.92210081071554,46.52802255904124,31.864645752555514,33.20408882622489,37.08142403947832,33.486076841734224,57.63130066972154,42.96792386323581,53.542474444836095,49.383151216073315,39.513570673246385,29.60874162848079,35.777229467747624,38.8438491364117,38.27987310539302,39.09058864998238
buy_count,57.59605216778287,67.21889319703914,69.40430031723652,68.5583362707085,44.131124427211844,72.43567148396193,73.70461755375398,73.45787804018329,72.78815650334862,67.07789918928445,53.47197744095876,68.13535424744448,66.79591117377511,62.918575960521686,66.51392315826577,42.36869933027847,57.03207613676419,46.457525555163905,50.616848783926685,60.48642932675361,70.3912583715192,64.22277053225238,61.1561508635883,61.72012689460698,60.90941135001763
balanced_accuracy_score,0.8823936825492344,0.8664352257035611,0.8595123696585565,0.8726225902445336,0.858695832297622,0.8658984872048636,0.8826433657700554,0.8685446009389671,0.8761388474106776,0.8888760049474336,0.8758737861382401,0.8810039336986855,0.895349484823169,0.8964168233082708,0.866687935827902,0.8703414459995427,0.8862151394422311,0.8782127715951245,0.8626126126126126,0.8953053171148448,0.8754449388209121,0.9108235705542926,0.859035509199578,0.8674799465240641,0.8491472622630551
True_Buys %,51.76056338028169,57.74647887323944,57.981220657277,59.27230046948356,40.375586854460096,62.08920187793427,63.38028169014085,63.02816901408451,62.676056338028175,60.2112676056338,47.417840375586856,61.267605633802816,59.859154929577464,55.16431924882629,58.56807511737089,38.967136150234744,52.58215962441315,42.370892018779344,46.478873239436616,53.755868544600936,60.91549295774647,57.863849765258216,53.16901408450704,55.633802816901415,50.70422535211267
False_Buys %,6.807511737089202,11.619718309859154,10.56338028169014,9.976525821596244,7.159624413145541,13.380281690140844,10.68075117370892,11.971830985915492,11.619718309859154,8.80281690140845,6.924882629107981,9.976525821596244,6.690140845070422,7.276995305164319,11.032863849765258,5.516431924882629,6.338028169014084,5.516431924882629,5.633802816901409,7.629107981220658,11.854460093896714,6.807511737089202,9.03755868544601,8.215962441314554,11.619718309859154
True_Sells %,36.502347417840376,27.582159624413144,27.464788732394368,27.347417840375588,45.539906103286384,22.300469483568076,23.591549295774648,22.417840375586852,23.35680751173709,28.051643192488264,40.140845070422536,25.938967136150236,29.812206572769952,34.154929577464785,27.11267605633803,48.00469483568075,36.15023474178404,45.42253521126761,39.906103286384976,35.328638497652584,24.88262910798122,32.74647887323944,32.629107981220656,31.220657276995308,33.33333333333333
False_Sells %,4.929577464788732,3.051643192488263,3.9906103286384975,3.403755868544601,6.924882629107981,2.2300469483568075,2.3474178403755865,2.5821596244131455,2.3474178403755865,2.9342723004694835,5.516431924882629,2.8169014084507045,3.6384976525821595,3.403755868544601,3.286384976525822,7.511737089201878,4.929577464788732,6.690140845070422,7.981220657276995,3.286384976525822,2.3474178403755865,2.5821596244131455,5.164319248826291,4.929577464788732,4.342723004694836
Classification_Report,"                   pre       rec       spe        f1       geo       iba       sup

        buy       0.91      0.88      0.88      0.90      0.88      0.78       499
       sell       0.84      0.88      0.88      0.86      0.88      0.78       353

avg / total       0.88      0.88      0.88      0.88      0.88      0.78       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.83      0.90      0.89      0.87      0.74       591
       sell       0.70      0.90      0.83      0.79      0.87      0.75       261

avg / total       0.87      0.85      0.88      0.86      0.87      0.75       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.85      0.87      0.89      0.86      0.74       584
       sell       0.72      0.87      0.85      0.79      0.86      0.74       268

avg / total       0.87      0.85      0.86      0.86      0.86      0.74       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.86      0.89      0.90      0.87      0.76       590
       sell       0.73      0.89      0.86      0.80      0.87      0.76       262

avg / total       0.88      0.87      0.88      0.87      0.87      0.76       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.85      0.85      0.87      0.85      0.86      0.74       405
       sell       0.86      0.87      0.85      0.87      0.86      0.74       447

avg / total       0.86      0.86      0.86      0.86      0.86      0.74       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.97      0.82      0.91      0.89      0.86      0.74       643
       sell       0.62      0.91      0.82      0.74      0.86      0.75       209

avg / total       0.88      0.84      0.89      0.85      0.86      0.74       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.86      0.91      0.91      0.88      0.77       631
       sell       0.69      0.91      0.86      0.78      0.88      0.78       221

avg / total       0.89      0.87      0.90      0.87      0.88      0.78       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.84      0.90      0.90      0.87      0.75       639
       sell       0.65      0.90      0.84      0.75      0.87      0.76       213

avg / total       0.88      0.85      0.88      0.86      0.87      0.75       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.84      0.91      0.90      0.88      0.76       633
       sell       0.67      0.91      0.84      0.77      0.88      0.77       219

avg / total       0.89      0.86      0.89      0.87      0.88      0.76       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.87      0.91      0.91      0.89      0.79       588
       sell       0.76      0.91      0.87      0.83      0.89      0.79       264

avg / total       0.89      0.88      0.90      0.89      0.89      0.79       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.90      0.87      0.88      0.88      0.88      0.77       463
       sell       0.85      0.88      0.87      0.87      0.88      0.77       389

avg / total       0.88      0.88      0.88      0.88      0.88      0.77       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.86      0.90      0.91      0.88      0.77       607
       sell       0.72      0.90      0.86      0.80      0.88      0.78       245

avg / total       0.89      0.87      0.89      0.88      0.88      0.77       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.90      0.89      0.92      0.90      0.80       567
       sell       0.82      0.89      0.90      0.85      0.90      0.80       285

avg / total       0.90      0.90      0.89      0.90      0.90      0.80       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.88      0.91      0.91      0.90      0.80       532
       sell       0.82      0.91      0.88      0.86      0.90      0.81       320

avg / total       0.90      0.89      0.90      0.89      0.90      0.80       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.84      0.89      0.89      0.87      0.75       593
       sell       0.71      0.89      0.84      0.79      0.87      0.75       259

avg / total       0.88      0.86      0.88      0.86      0.87      0.75       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.84      0.88      0.86      0.86      0.87      0.76       379
       sell       0.90      0.86      0.88      0.88      0.87      0.76       473

avg / total       0.87      0.87      0.87      0.87      0.87      0.76       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.91      0.89      0.88      0.90      0.89      0.79       502
       sell       0.85      0.88      0.89      0.87      0.89      0.78       350

avg / total       0.89      0.89      0.89      0.89      0.89      0.79       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.86      0.88      0.87      0.87      0.88      0.77       408
       sell       0.89      0.87      0.88      0.88      0.88      0.77       444

avg / total       0.88      0.88      0.88      0.88      0.88      0.77       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.85      0.89      0.83      0.87      0.86      0.75       444
       sell       0.88      0.83      0.89      0.85      0.86      0.74       408

avg / total       0.86      0.86      0.86      0.86      0.86      0.74       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.88      0.91      0.91      0.90      0.80       523
       sell       0.82      0.91      0.88      0.87      0.90      0.80       329

avg / total       0.90      0.89      0.90      0.89      0.90      0.80       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.84      0.91      0.90      0.87      0.76       620
       sell       0.68      0.91      0.84      0.78      0.87      0.77       232

avg / total       0.89      0.86      0.89      0.86      0.87      0.76       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.89      0.93      0.92      0.91      0.83       551
       sell       0.83      0.93      0.89      0.87      0.91      0.83       301

avg / total       0.91      0.91      0.92      0.91      0.91      0.83       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.91      0.85      0.86      0.88      0.86      0.74       530
       sell       0.78      0.86      0.85      0.82      0.86      0.74       322

avg / total       0.86      0.86      0.86      0.86      0.86      0.74       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.92      0.87      0.86      0.89      0.87      0.75       544
       sell       0.79      0.86      0.87      0.83      0.87      0.75       308

avg / total       0.87      0.87      0.87      0.87      0.87      0.75       852
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.92      0.81      0.88      0.86      0.85      0.71       531
       sell       0.74      0.88      0.81      0.81      0.85      0.72       321

avg / total       0.85      0.84      0.86      0.84      0.85      0.72       852
"
Buy_Precision,0.91,0.95,0.94,0.95,0.85,0.97,0.96,0.96,0.96,0.95,0.9,0.96,0.94,0.94,0.95,0.84,0.91,0.86,0.85,0.94,0.96,0.96,0.91,0.92,0.92
Sell_Precision,0.84,0.7,0.72,0.73,0.86,0.62,0.69,0.65,0.67,0.76,0.85,0.72,0.82,0.82,0.71,0.9,0.85,0.89,0.88,0.82,0.68,0.83,0.78,0.79,0.74
