,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,GDXJ,XLV,XLV,XLV,XLV,XLV,XLV,XLV,XLP,XLP,XLP,XLP,XLP,XLP,XLP,XLI,XLI,XLI,XLI,XLI,XLI,XLI,XLU,XLU,XLU,XLU,XLU,XLU,XLU,GDX,GDX,GDX,GDX,GDX,GDX,GDX,XLE,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLF
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10,29.63948693539074,30.720939828678404,29.63948693539074,30.682661056518555,14885900,0.0,0,72.77606725889757,72.80361543782243,72.42711198226739,72.61077117919922,3580000,0.0,0,47.67454727532964,47.67454727532964,47.237647109683124,47.29881286621094,9119200,0.0,0,62.67919191324145,63.199919503163464,62.606105627314044,62.9075813293457,7919500,0.0,0,43.908611462855234,44.01064450968641,43.71304677160712,43.7470588684082,16313800,0.0,0,20.146467037785467,20.740417947763824,20.108146681159674,20.606300354003906,52988200,0.0,0,49.99546074375708,50.34743488080701,49.885959270199166,50.23011016845703,14153800,0.0,0,22.628515711270083,22.691849944761405,22.556133483604516,22.637563705444336,55022500,0.0,0
2017-07-11,30.634804056867544,30.85492614813746,30.089294170963672,30.797502517700195,8459900,0.0,0,72.56486344684784,72.72098149374457,72.1608117535129,72.52813720703125,4117500,0.0,0,47.34251208158874,47.359988491850466,47.062896183969904,47.16775131225586,11256400,0.0,0,62.90759444405144,62.95327512475234,62.414272366033565,62.852783203125,7683500,0.0,0,43.81508928180581,43.81508928180581,43.50898683162691,43.7215576171875,9055900,0.0,0,20.615881355102605,20.826637844221732,20.36680450766259,20.730838775634766,35247100,0.0,0,50.3161483273793,50.683762977804065,50.00328441420613,50.50386428833008,11899800,0.0,0,22.619473091847606,22.628521088171805,22.37518236828073,22.43851661682129,49857200,0.0,0
2017-07-12,31.132468166828655,31.352586632729576,30.864498495438486,30.912349700927734,9287200,0.0,0,72.88625357650794,73.26275696282165,72.86788345650358,73.02399444580078,8808200,0.0,0,47.464842498652686,47.59591390587654,47.394940192541824,47.42988967895508,8100800,0.0,0,63.209046736930794,63.49224733641163,63.12682293618076,63.19990921020508,5821800,0.0,0,44.10418164028814,44.22322075032731,44.01915463128087,44.095680236816406,12143000,0.0,0,21.01823732483551,21.133194752715497,20.788320641860167,20.82663917541504,39815200,0.0,0,51.004440894125224,51.12958883832822,50.425646570642414,50.644649505615234,14818600,0.0,0,22.438510642449383,22.528988855872242,22.3751764107719,22.510892868041992,47818600,0.0,0
2017-07-13,30.912349947583156,31.046334784347334,30.414691200142006,30.51996421813965,8345500,0.0,0,73.08828735351562,73.31786484665693,72.59240613374159,73.08828735351562,9437700,0.0,0,47.49105122729748,47.54348045218566,47.39493598159524,47.43862533569336,10008200,0.0,0,63.26388054881758,63.40091561907525,63.008085468279646,63.15425109863281,3938800,0.0,0,44.070166878423144,44.18920597251376,43.90861104195269,43.942623138427734,6921000,0.0,0,20.85537859213303,20.9607559255061,20.577561469569254,20.596721649169922,42072200,0.0,0,50.68376262094467,50.88711909080003,50.40218569780965,50.84801483154297,10056800,0.0,0,22.510895873588115,22.64661407470703,22.49280160907039,22.64661407470703,48875900,0.0,0
2017-07-14,31.046335415612383,31.24731632565818,30.893209363223672,31.008056640625,12389200,0.0,0,73.24442009445036,73.7403084200389,73.09748710635725,73.58419036865234,5750000,0.0,0,47.65708102714121,47.88426769505894,47.639604616796085,47.81436538696289,6341100,0.0,0,63.25473220364594,63.565345441114765,63.135972213671046,63.42831039428711,5519200,0.0,0,44.23172443407754,44.35076354152423,44.095679276485264,44.14669418334961,12607500,0.0,0,21.03739683086339,21.094877375168714,20.884119033813477,20.884119033813477,47456100,0.0,0,50.87930340552399,51.246912097437736,50.83236993861651,51.15305709838867,10272500,0.0,0,22.366130273828425,22.583276968635086,22.248509794623015,22.547086715698242,61742300,0.0,0
2017-07-17,31.266453115698212,31.53442643887132,31.20903312922845,31.35258674621582,9437500,0.0,0,73.67601079256072,73.73110714790816,73.29950034795597,73.31786346435547,5743700,0.0,0,47.90174359179986,47.9192200019576,47.726982823506845,47.866790771484375,7902200,0.0,0,63.382635694589545,63.492265136360444,63.20906445748478,63.39177322387695,5113400,0.0,0,44.17219896163235,44.35075759887696,44.07866732015032,44.35075759887695,7669000,0.0,0,21.11403533256215,21.238572844341277,21.056554794311523,21.056554794311523,28408400,0.0,0,51.05919000468997,51.44244512870868,51.01226251079688,51.090476989746094,12214900,0.0,0,22.483752737201986,22.52899098532517,22.384226520456732,22.47470474243164,43257000,0.0,0
2017-07-18,31.620560335775433,31.73540396049542,31.390869435522454,31.51528549194336,8896100,0.0,0,73.22603000362662,73.44642942567691,72.87707476126985,73.37296295166016,8042700,0.0,0,47.8318412844533,47.945432950552004,47.71824628507018,47.866790771484375,5310800,0.0,0,63.291279173859174,63.37350299488358,63.06288973863602,63.24560546875,6891100,0.0,0,44.452795120494194,44.52932072181818,44.333756017006294,44.47830581665039,7890400,0.0,0,21.29605212761903,21.33437248748248,21.190674792425206,21.2098331451416,30865800,0.0,0,51.348594702142385,51.364235212368655,50.63682915550032,50.84801483154297,14956800,0.0,0,22.32089611606437,22.47470860211809,22.29375212709177,22.43851661682129,63210700,0.0,0
2017-07-19,31.438718435984914,31.65884053990717,31.180321211196215,31.390867233276367,6631900,0.0,0,73.68518306363872,73.96986389160156,73.68518306363872,73.96986389160156,8177900,0.0,0,47.84931251159782,48.04154968261719,47.78814674505244,48.04154968261719,5592000,0.0,0,63.13598826303744,63.309566497802734,63.035496334477926,63.309566497802734,8864600,0.0,0,44.55482886119885,44.682369360371716,44.427285118453874,44.66536331176758,10669400,0.0,0,21.219415321149082,21.343954675733197,21.08529770287281,21.24815559387207,27487200,0.0,0,50.79326334622281,51.637988135797826,50.75415312015928,51.591060638427734,24802700,0.0,0,22.48375133351132,22.547085567221156,22.366129134568688,22.447559356689453,48259400,0.0,0
