,XLE,XLF,XLU,XLI,GDX,XLK,XLV,XLY,XLP,XLB,XOP,IYR,XHB,ITB,VNQ,GDXJ,IYE,OIH,XME,XRT,SMH,IBB,KBE,KRE,XTL
sell_count,42.403947832217135,32.78110680296088,30.595699682763485,31.441663729291502,55.868875572788156,27.564328516038067,26.295382446246034,26.542121959816704,27.211843496651394,32.92210081071554,46.52802255904124,31.864645752555514,33.20408882622489,37.08142403947832,33.486076841734224,57.63130066972154,42.96792386323581,53.542474444836095,49.383151216073315,39.513570673246385,29.60874162848079,35.777229467747624,38.8438491364117,38.27987310539302,39.09058864998238
buy_count,57.59605216778287,67.21889319703914,69.40430031723652,68.5583362707085,44.131124427211844,72.43567148396193,73.70461755375398,73.45787804018329,72.78815650334862,67.07789918928445,53.47197744095876,68.13535424744448,66.79591117377511,62.918575960521686,66.51392315826577,42.36869933027847,57.03207613676419,46.457525555163905,50.616848783926685,60.48642932675361,70.3912583715192,64.22277053225238,61.1561508635883,61.72012689460698,60.90941135001763
balanced_accuracy_score,0.9024873431653093,0.8686398872445384,0.8713431580487092,0.8722299422218972,0.8686259244842351,0.8547433429073426,0.8766621521792661,0.8728715490163663,0.8679922843306247,0.8809783795588557,0.8709140919849037,0.8880755235939604,0.890144585942447,0.9055037132572981,0.8775014768867228,0.8604429386533183,0.887591575091575,0.8940110134963076,0.8727131179447256,0.8908463949843259,0.8791824494949495,0.903718186183714,0.8692762311183364,0.8781318832599119,0.864147889639127
True_Buys %,52.112676056338024,57.887323943661976,58.16901408450704,58.59154929577465,41.40845070422535,62.25352112676056,61.54929577464788,61.69014084507042,62.25352112676056,58.87323943661972,47.04225352112676,60.84507042253521,59.014084507042256,55.91549295774648,59.014084507042256,37.88732394366197,52.394366197183096,43.239436619718305,45.91549295774648,53.239436619718305,61.97183098591549,56.33802816901409,53.94366197183098,55.35211267605634,52.394366197183096
False_Buys %,6.056338028169014,11.830985915492958,10.0,9.577464788732394,6.901408450704226,12.535211267605634,12.253521126760564,12.394366197183098,11.549295774647888,9.014084507042254,7.323943661971831,9.71830985915493,6.619718309859154,6.197183098591549,9.71830985915493,6.197183098591549,6.197183098591549,4.084507042253521,5.774647887323944,8.028169014084508,10.140845070422536,7.323943661971831,8.591549295774648,8.591549295774648,9.71830985915493
True_Sells %,38.028169014084504,27.464788732394368,28.30985915492958,28.169014084507044,45.49295774647887,22.112676056338028,24.084507042253524,23.661971830985916,23.380281690140844,28.732394366197184,40.0,26.901408450704224,30.28169014084507,34.50704225352113,28.028169014084508,48.16901408450705,36.47887323943662,46.056338028169016,41.40845070422535,35.352112676056336,25.070422535211268,33.52112676056338,32.816901408450704,32.11267605633803,33.52112676056338
False_Sells %,3.8028169014084505,2.8169014084507045,3.5211267605633805,3.6619718309859155,6.197183098591549,3.0985915492957745,2.112676056338028,2.2535211267605635,2.8169014084507045,3.3802816901408446,5.633802816901409,2.535211267605634,4.084507042253521,3.3802816901408446,3.2394366197183095,7.746478873239436,4.929577464788732,6.619718309859154,6.901408450704226,3.3802816901408446,2.8169014084507045,2.8169014084507045,4.647887323943662,3.943661971830986,4.366197183098591
Classification_Report,"                   pre       rec       spe        f1       geo       iba       sup

        buy       0.93      0.90      0.91      0.91      0.90      0.81       413
       sell       0.86      0.91      0.90      0.89      0.90      0.82       297

avg / total       0.90      0.90      0.90      0.90      0.90      0.81       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.83      0.91      0.89      0.87      0.75       495
       sell       0.70      0.91      0.83      0.79      0.87      0.76       215

avg / total       0.88      0.85      0.88      0.86      0.87      0.75       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.85      0.89      0.90      0.87      0.76       484
       sell       0.74      0.89      0.85      0.81      0.87      0.76       226

avg / total       0.88      0.86      0.88      0.87      0.87      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.86      0.88      0.90      0.87      0.76       484
       sell       0.75      0.88      0.86      0.81      0.87      0.76       226

avg / total       0.88      0.87      0.88      0.87      0.87      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.87      0.86      0.88      0.86      0.87      0.75       343
       sell       0.87      0.88      0.86      0.87      0.87      0.76       367

avg / total       0.87      0.87      0.87      0.87      0.87      0.75       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.83      0.88      0.89      0.85      0.73       531
       sell       0.64      0.88      0.83      0.74      0.85      0.73       179

avg / total       0.87      0.84      0.87      0.85      0.85      0.73       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.97      0.83      0.92      0.90      0.88      0.76       524
       sell       0.66      0.92      0.83      0.77      0.88      0.77       186

avg / total       0.89      0.86      0.90      0.86      0.88      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.83      0.91      0.89      0.87      0.75       526
       sell       0.66      0.91      0.83      0.76      0.87      0.77       184

avg / total       0.88      0.85      0.89      0.86      0.87      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.84      0.89      0.90      0.87      0.75       524
       sell       0.67      0.89      0.84      0.76      0.87      0.76       186

avg / total       0.88      0.86      0.88      0.86      0.87      0.75       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.87      0.89      0.90      0.88      0.77       482
       sell       0.76      0.89      0.87      0.82      0.88      0.78       228

avg / total       0.89      0.88      0.89      0.88      0.88      0.78       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.89      0.87      0.88      0.88      0.87      0.76       386
       sell       0.85      0.88      0.87      0.86      0.87      0.76       324

avg / total       0.87      0.87      0.87      0.87      0.87      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.86      0.91      0.91      0.89      0.78       501
       sell       0.73      0.91      0.86      0.81      0.89      0.79       209

avg / total       0.89      0.88      0.90      0.88      0.89      0.79       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.90      0.88      0.92      0.89      0.79       466
       sell       0.82      0.88      0.90      0.85      0.89      0.79       244

avg / total       0.90      0.89      0.89      0.89      0.89      0.79       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.90      0.91      0.92      0.91      0.82       441
       sell       0.85      0.91      0.90      0.88      0.91      0.82       269

avg / total       0.91      0.90      0.91      0.90      0.91      0.82       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.86      0.90      0.90      0.88      0.77       488
       sell       0.74      0.90      0.86      0.81      0.88      0.77       222

avg / total       0.88      0.87      0.88      0.87      0.88      0.77       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.83      0.86      0.86      0.84      0.86      0.74       313
       sell       0.89      0.86      0.86      0.87      0.86      0.74       397

avg / total       0.86      0.86      0.86      0.86      0.86      0.74       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.91      0.89      0.88      0.90      0.89      0.79       416
       sell       0.85      0.88      0.89      0.87      0.89      0.79       294

avg / total       0.89      0.89      0.89      0.89      0.89      0.79       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.87      0.91      0.87      0.89      0.89      0.80       336
       sell       0.92      0.87      0.91      0.90      0.89      0.80       374

avg / total       0.89      0.89      0.90      0.89      0.89      0.80       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.87      0.89      0.86      0.88      0.87      0.76       367
       sell       0.88      0.86      0.89      0.87      0.87      0.76       343

avg / total       0.87      0.87      0.87      0.87      0.87      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.94      0.87      0.91      0.90      0.89      0.79       435
       sell       0.81      0.91      0.87      0.86      0.89      0.80       275

avg / total       0.89      0.89      0.90      0.89      0.89      0.79       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.96      0.86      0.90      0.91      0.88      0.77       512
       sell       0.71      0.90      0.86      0.79      0.88      0.78       198

avg / total       0.89      0.87      0.89      0.87      0.88      0.77       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.95      0.88      0.92      0.92      0.90      0.81       452
       sell       0.82      0.92      0.88      0.87      0.90      0.82       258

avg / total       0.90      0.90      0.91      0.90      0.90      0.82       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.92      0.86      0.88      0.89      0.87      0.75       444
       sell       0.79      0.88      0.86      0.83      0.87      0.76       266

avg / total       0.87      0.87      0.87      0.87      0.87      0.76       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.93      0.87      0.89      0.90      0.88      0.77       454
       sell       0.79      0.89      0.87      0.84      0.88      0.77       256

avg / total       0.88      0.87      0.88      0.88      0.88      0.77       710
","                   pre       rec       spe        f1       geo       iba       sup

        buy       0.92      0.84      0.88      0.88      0.86      0.74       441
       sell       0.78      0.88      0.84      0.83      0.86      0.75       269

avg / total       0.87      0.86      0.87      0.86      0.86      0.75       710
"
Buy_Precision,0.93,0.95,0.94,0.94,0.87,0.95,0.97,0.96,0.96,0.95,0.89,0.96,0.94,0.94,0.95,0.83,0.91,0.87,0.87,0.94,0.96,0.95,0.92,0.93,0.92
Sell_Precision,0.86,0.7,0.74,0.75,0.87,0.64,0.66,0.66,0.67,0.76,0.85,0.73,0.82,0.85,0.74,0.89,0.85,0.92,0.88,0.81,0.71,0.82,0.79,0.79,0.78
